,cvvdp
Chimera2_1000nit_AVS3_r1,9.642608642578123
Chimera2_1000nit_AVS3_r2,9.489191055297852
Chimera2_1000nit_AVS3_r3,9.278916358947754
Chimera2_1000nit_AVS3_r4,8.479636192321777
Chimera2_1000nit_EEM_r1,9.39708137512207
Chimera2_1000nit_EEM_r2,8.563925743103027
Chimera2_1000nit_EEM_r3,7.783135890960693
Chimera2_1000nit_EEM_r4,6.253535270690918
Chimera2_1000nit_LTM_r1,9.682624816894531
Chimera2_1000nit_LTM_r2,9.4070463180542
Chimera2_1000nit_LTM_r3,8.696450233459473
Chimera2_1000nit_LTM_r4,7.455103874206543
Chimera2_1000nit_NNVC_r1,9.807412147521973
Chimera2_1000nit_NNVC_r2,9.5713529586792
Chimera2_1000nit_NNVC_r3,9.19770622253418
Chimera2_1000nit_NNVC_r4,7.440069198608398
Chimera2_1000nit_VTM_r1,9.484183311462402
Chimera2_1000nit_VTM_r2,9.009380340576172
Chimera2_1000nit_VTM_r3,7.096774101257324
Chimera2_1000nit_VTM_r4,6.060263156890869
Chimera3_1000nit_AVS3_r1,9.081903457641602
Chimera3_1000nit_AVS3_r2,8.444243431091309
Chimera3_1000nit_AVS3_r3,7.64882755279541
Chimera3_1000nit_AVS3_r4,6.007997512817383
Chimera3_1000nit_AlphaVC-P_r1,7.162412643432617
Chimera3_1000nit_EEM_r1,8.221476554870605
Chimera3_1000nit_EEM_r2,6.721210479736328
Chimera3_1000nit_EEM_r3,5.927590370178223
Chimera3_1000nit_EEM_r4,4.255081653594971
Chimera3_1000nit_LTM_r1,9.47413158416748
Chimera3_1000nit_LTM_r2,6.883050441741943
Chimera3_1000nit_LTM_r3,5.978339672088623
Chimera3_1000nit_LTM_r4,5.160525321960449
Chimera3_1000nit_NNVC_r1,9.862669944763184
Chimera3_1000nit_NNVC_r2,8.690766334533691
Chimera3_1000nit_NNVC_r3,7.480616569519043
Chimera3_1000nit_NNVC_r4,4.879269599914551
Chimera3_1000nit_VTM_r1,8.775764465332031
Chimera3_1000nit_VTM_r2,7.596357345581055
Chimera3_1000nit_VTM_r3,6.215192317962647
Chimera3_1000nit_VTM_r4,4.850071430206299
Chimera4_1000nit_AVS3_r1,9.695858001708984
Chimera4_1000nit_AVS3_r2,9.528564453125
Chimera4_1000nit_AVS3_r3,9.257100105285645
Chimera4_1000nit_AVS3_r4,8.241941452026367
Chimera4_1000nit_AlphaVC-P_r3,8.075438499450684
Chimera4_1000nit_AlphaVC-P_r4,5.98599910736084
Chimera4_1000nit_EEM_r4,6.072623252868652
Chimera4_1000nit_LTM_r1,9.70211696624756
Chimera4_1000nit_LTM_r2,8.357979774475098
Chimera4_1000nit_LTM_r3,6.78386926651001
Chimera4_1000nit_LTM_r4,5.883538722991943
Chimera4_1000nit_NNVC_r1,9.889939308166504
Chimera4_1000nit_NNVC_r2,9.579118728637695
Chimera4_1000nit_NNVC_r3,9.122387886047363
Chimera4_1000nit_NNVC_r4,6.931914329528809
Chimera4_1000nit_VTM_r1,9.495336532592772
Chimera4_1000nit_VTM_r2,7.83897590637207
Chimera4_1000nit_VTM_r3,6.364643096923828
Chimera4_1000nit_VTM_r4,4.847165107727051
Football1_1000nit_AVS3_r1,9.66534423828125
Football1_1000nit_AVS3_r2,9.48390293121338
Football1_1000nit_AVS3_r3,9.218689918518066
Football1_1000nit_AVS3_r4,8.349544525146484
Football1_1000nit_AlphaVC-P_r1,9.401819229125977
Football1_1000nit_AlphaVC-P_r2,9.268891334533691
Football1_1000nit_AlphaVC-P_r3,9.133872032165527
Football1_1000nit_AlphaVC-P_r4,8.03680419921875
Football1_1000nit_EEM_r1,9.103508949279783
Football1_1000nit_EEM_r2,8.080056190490723
Football1_1000nit_EEM_r3,7.799439907073975
Football1_1000nit_EEM_r4,6.989401340484619
Football1_1000nit_LTM_r1,9.72002410888672
Football1_1000nit_LTM_r2,9.395495414733888
Football1_1000nit_LTM_r3,8.652953147888184
Football1_1000nit_LTM_r4,7.657339096069336
Football1_1000nit_NNVC_r1,9.885401725769045
Football1_1000nit_NNVC_r2,9.584352493286133
Football1_1000nit_NNVC_r3,9.139591217041016
Football1_1000nit_NNVC_r4,7.554111003875732
Football1_1000nit_VTM_r1,9.507554054260254
Football1_1000nit_VTM_r2,8.996689796447754
Football1_1000nit_VTM_r3,8.184978485107422
Football1_1000nit_VTM_r4,7.447113037109375
Nocturne1_1000nit_AVS3_r1,9.770172119140623
Nocturne1_1000nit_AVS3_r2,9.683489799499512
Nocturne1_1000nit_AVS3_r3,9.559678077697754
Nocturne1_1000nit_AVS3_r4,9.115755081176758
Nocturne1_1000nit_AlphaVC-P_r1,9.570765495300291
Nocturne1_1000nit_AlphaVC-P_r2,9.47514820098877
Nocturne1_1000nit_AlphaVC-P_r3,9.363751411437988
Nocturne1_1000nit_AlphaVC-P_r4,8.863912582397461
Nocturne1_1000nit_EEM_r1,9.617238998413086
Nocturne1_1000nit_EEM_r2,9.1939058303833
Nocturne1_1000nit_EEM_r3,8.894729614257812
Nocturne1_1000nit_EEM_r4,8.128840446472168
Nocturne1_1000nit_LTM_r1,9.78862190246582
Nocturne1_1000nit_LTM_r2,9.222335815429688
Nocturne1_1000nit_LTM_r3,8.603111267089844
Nocturne1_1000nit_LTM_r4,8.233266830444336
Nocturne1_1000nit_NNVC_r1,9.933846473693848
Nocturne1_1000nit_NNVC_r2,9.746432304382324
Nocturne1_1000nit_NNVC_r3,9.237433433532717
Nocturne1_1000nit_NNVC_r4,8.111527442932129
Nocturne1_1000nit_VTM_r1,9.398645401000977
Nocturne1_1000nit_VTM_r2,8.961287498474121
Nocturne1_1000nit_VTM_r3,8.37345027923584
Nocturne1_1000nit_VTM_r4,7.591756820678711
Smithy1_1000nit_AVS3_r1,9.61415958404541
Smithy1_1000nit_AVS3_r2,9.342702865600586
Smithy1_1000nit_AVS3_r3,8.923974990844727
Smithy1_1000nit_AVS3_r4,7.524889945983887
Smithy1_1000nit_AlphaVC-P_r1,8.358258247375488
Smithy1_1000nit_AlphaVC-P_r2,7.737447738647461
Smithy1_1000nit_AlphaVC-P_r3,7.229642868041992
Smithy1_1000nit_AlphaVC-P_r4,6.259640216827393
Smithy1_1000nit_EEM_r1,9.087960243225098
Smithy1_1000nit_EEM_r2,7.819626808166504
Smithy1_1000nit_EEM_r3,6.925598621368408
Smithy1_1000nit_EEM_r4,4.612363815307617
Smithy1_1000nit_LTM_r1,9.354373931884766
Smithy1_1000nit_LTM_r2,6.933036804199219
Smithy1_1000nit_LTM_r3,5.985705852508545
Smithy1_1000nit_LTM_r4,4.98715877532959
Smithy1_1000nit_NNVC_r1,9.889554977416992
Smithy1_1000nit_NNVC_r2,9.469555854797363
Smithy1_1000nit_NNVC_r3,8.780020713806152
Smithy1_1000nit_NNVC_r4,5.988132476806641
Smithy1_1000nit_VTM_r1,8.536212921142578
Smithy1_1000nit_VTM_r2,7.244548797607422
Smithy1_1000nit_VTM_r3,5.612946033477783
Smithy1_1000nit_VTM_r4,3.8679099082946777
Sparks2_1000nit_AVS3_r1,9.579039573669434
Sparks2_1000nit_AVS3_r2,9.326741218566896
Sparks2_1000nit_AVS3_r3,8.967076301574707
Sparks2_1000nit_AVS3_r4,7.920062065124512
Sparks2_1000nit_AlphaVC-P_r1,8.934216499328613
Sparks2_1000nit_AlphaVC-P_r2,8.52734088897705
Sparks2_1000nit_AlphaVC-P_r3,8.149572372436523
Sparks2_1000nit_AlphaVC-P_r4,6.987074851989746
Sparks2_1000nit_EEM_r1,9.00806999206543
Sparks2_1000nit_EEM_r2,8.094603538513184
Sparks2_1000nit_EEM_r3,7.51751708984375
Sparks2_1000nit_EEM_r4,6.173296451568604
Sparks2_1000nit_LTM_r1,9.668288230895996
Sparks2_1000nit_LTM_r2,8.193656921386719
Sparks2_1000nit_LTM_r3,7.533215522766113
Sparks2_1000nit_LTM_r4,6.084599494934082
Sparks2_1000nit_NNVC_r1,9.899846076965332
Sparks2_1000nit_NNVC_r2,9.460430145263672
Sparks2_1000nit_NNVC_r3,8.886805534362793
Sparks2_1000nit_NNVC_r4,6.899679183959961
Sparks2_1000nit_VTM_r1,9.359477996826172
Sparks2_1000nit_VTM_r2,8.691001892089844
Sparks2_1000nit_VTM_r3,7.713376045227051
Sparks2_1000nit_VTM_r4,6.549576759338379
Sparks3_1000nit_AVS3_r1,9.655046463012695
Sparks3_1000nit_AVS3_r2,9.469154357910156
Sparks3_1000nit_AVS3_r3,9.263952255249023
Sparks3_1000nit_AVS3_r4,8.654483795166016
Sparks3_1000nit_AlphaVC-P_r1,9.23097801208496
Sparks3_1000nit_AlphaVC-P_r2,9.001631736755371
Sparks3_1000nit_AlphaVC-P_r3,8.81140422821045
Sparks3_1000nit_AlphaVC-P_r4,7.473774909973144
Sparks3_1000nit_EEM_r3,8.316414833068848
Sparks3_1000nit_EEM_r4,6.962553024291992
Sparks3_1000nit_LTM_r1,9.704920768737791
Sparks3_1000nit_LTM_r2,8.703557014465332
Sparks3_1000nit_LTM_r3,7.473103046417236
Sparks3_1000nit_LTM_r4,6.632199287414551
Sparks3_1000nit_NNVC_r1,9.923263549804688
Sparks3_1000nit_NNVC_r2,9.5569486618042
Sparks3_1000nit_NNVC_r3,9.228816986083984
Sparks3_1000nit_NNVC_r4,7.859764099121094
Sparks3_1000nit_VTM_r1,9.49289894104004
Sparks3_1000nit_VTM_r2,9.06518840789795
Sparks3_1000nit_VTM_r3,8.32861042022705
Sparks3_1000nit_VTM_r4,7.07590913772583
