,psnr,mssim,ssim
Chimera2_1000nit_AVS3_r1,44.7482,0.9982360000000001,0.9995820000000001
Chimera2_1000nit_AVS3_r2,43.815200000000004,0.9980330000000002,0.9994840000000002
Chimera2_1000nit_AVS3_r3,42.906600000000005,0.997798,0.9993700000000001
Chimera2_1000nit_AVS3_r4,40.9971,0.997214,0.999038
Chimera2_1000nit_EEM_r1,43.4177,0.997872,0.999464
Chimera2_1000nit_EEM_r2,41.228699999999996,0.9971690000000001,0.999106
Chimera2_1000nit_EEM_r3,40.1798,0.9968670000000001,0.9988790000000001
Chimera2_1000nit_EEM_r4,37.938700000000004,0.9956430000000001,0.9981800000000001
Chimera2_1000nit_LTM_r1,43.8495,0.9981040000000001,0.999433
Chimera2_1000nit_LTM_r2,42.5619,0.9976800000000001,0.9992620000000001
Chimera2_1000nit_LTM_r3,40.97410000000001,0.9971920000000001,0.998971
Chimera2_1000nit_LTM_r4,39.4938,0.996592,0.998568
Chimera2_1000nit_NNVC_r1,47.2471,0.9987900000000001,0.9997780000000001
Chimera2_1000nit_NNVC_r2,44.2281,0.9980670000000001,0.999533
Chimera2_1000nit_NNVC_r3,42.58480000000001,0.9976460000000003,0.999344
Chimera2_1000nit_NNVC_r4,39.5732,0.9965060000000001,0.9987490000000001
Chimera2_1000nit_VTM_r1,43.63730000000001,0.9979250000000001,0.9994520000000001
Chimera2_1000nit_VTM_r2,42.058800000000005,0.997547,0.999218
Chimera2_1000nit_VTM_r3,39.331500000000005,0.9965540000000002,0.998523
Chimera2_1000nit_VTM_r4,38.0302,0.9957710000000001,0.997943
Chimera3_1000nit_AVS3_r1,40.11300000000001,0.9898,0.9988570000000001
Chimera3_1000nit_AVS3_r2,38.456399999999995,0.987568,0.9983310000000001
Chimera3_1000nit_AVS3_r3,36.904,0.98521,0.9976370000000001
Chimera3_1000nit_AVS3_r4,34.330000000000005,0.980669,0.995947
Chimera3_1000nit_AlphaVC-P_r1,35.6186,0.983369,0.9968840000000001
Chimera3_1000nit_EEM_r1,37.921,0.9862570000000002,0.9981420000000001
Chimera3_1000nit_EEM_r2,35.2609,0.982102,0.9966710000000001
Chimera3_1000nit_EEM_r3,34.2148,0.979946,0.9959630000000002
Chimera3_1000nit_EEM_r4,32.0248,0.9753670000000001,0.99386
Chimera3_1000nit_LTM_r1,40.1789,0.990461,0.998866
Chimera3_1000nit_LTM_r2,34.8986,0.9827020000000001,0.9962330000000001
Chimera3_1000nit_LTM_r3,33.7524,0.9807220000000001,0.9952300000000001
Chimera3_1000nit_LTM_r4,32.7726,0.978855,0.994226
Chimera3_1000nit_NNVC_r1,44.814,0.9943580000000002,0.9996180000000001
Chimera3_1000nit_NNVC_r2,39.0128,0.9878740000000001,0.9985520000000001
Chimera3_1000nit_NNVC_r3,36.5873,0.984313,0.9975340000000001
Chimera3_1000nit_NNVC_r4,32.7259,0.976869,0.9946420000000001
Chimera3_1000nit_VTM_r1,38.4725,0.9880490000000002,0.998263
Chimera3_1000nit_VTM_r2,36.1631,0.984953,0.997065
Chimera3_1000nit_VTM_r3,34.124900000000004,0.9809840000000001,0.995557
Chimera3_1000nit_VTM_r4,32.4501,0.9777880000000001,0.9938250000000001
Chimera4_1000nit_AVS3_r1,44.52590000000001,0.996835,0.9996020000000001
Chimera4_1000nit_AVS3_r2,43.5428,0.996392,0.999503
Chimera4_1000nit_AVS3_r3,42.4532,0.9957849999999999,0.999371
Chimera4_1000nit_AVS3_r4,39.9595,0.994062,0.9989310000000001
Chimera4_1000nit_AlphaVC-P_r3,38.4743,0.9930190000000001,0.998568
Chimera4_1000nit_AlphaVC-P_r4,35.26520000000001,0.9891890000000001,0.9973000000000001
Chimera4_1000nit_EEM_r4,36.3694,0.990299,0.997897
Chimera4_1000nit_LTM_r1,43.9007,0.996536,0.9995480000000001
Chimera4_1000nit_LTM_r2,39.909,0.9939220000000001,0.9989210000000002
Chimera4_1000nit_LTM_r3,37.655300000000004,0.9920140000000001,0.9982670000000001
Chimera4_1000nit_LTM_r4,36.5124,0.9907590000000001,0.9978210000000001
Chimera4_1000nit_NNVC_r1,46.92550000000001,0.9976490000000001,0.999775
Chimera4_1000nit_NNVC_r2,43.793899999999994,0.9962900000000001,0.999542
Chimera4_1000nit_NNVC_r3,41.9232,0.9951680000000002,0.9993190000000001
Chimera4_1000nit_NNVC_r4,37.8121,0.9918210000000001,0.998414
Chimera4_1000nit_VTM_r1,43.0178,0.9959979999999999,0.999452
Chimera4_1000nit_VTM_r2,39.1841,0.993511,0.9987130000000001
Chimera4_1000nit_VTM_r3,37.273300000000006,0.991773,0.9980760000000001
Chimera4_1000nit_VTM_r4,35.4361,0.989591,0.997222
Football1_1000nit_AVS3_r1,46.478500000000004,0.9989560000000001,0.999741
