,vmaf
Chimera2_1000nit_AVS3_r1,92.277973
Chimera2_1000nit_AVS3_r2,89.842119
Chimera2_1000nit_AVS3_r3,87.021283
Chimera2_1000nit_AVS3_r4,79.023851
Chimera2_1000nit_EEM_r1,90.362703
Chimera2_1000nit_EEM_r2,82.80545
Chimera2_1000nit_EEM_r3,76.889325
Chimera2_1000nit_EEM_r4,65.158025
Chimera2_1000nit_LTM_r1,92.209484
Chimera2_1000nit_LTM_r2,88.166628
Chimera2_1000nit_LTM_r3,80.625949
Chimera2_1000nit_LTM_r4,71.437035
Chimera2_1000nit_NNVC_r1,96.656978
Chimera2_1000nit_NNVC_r2,91.187827
Chimera2_1000nit_NNVC_r3,86.310102
Chimera2_1000nit_NNVC_r4,72.624003
Chimera2_1000nit_VTM_r1,89.402531
Chimera2_1000nit_VTM_r2,83.702682
Chimera2_1000nit_VTM_r3,69.251598
Chimera2_1000nit_VTM_r4,61.12588
Chimera3_1000nit_AVS3_r1,95.02337
Chimera3_1000nit_AVS3_r2,89.751582
Chimera3_1000nit_AVS3_r3,82.458188
Chimera3_1000nit_AVS3_r4,65.747445
Chimera3_1000nit_AlphaVC-P_r1,71.992888
Chimera3_1000nit_EEM_r1,87.733603
Chimera3_1000nit_EEM_r2,74.080954
Chimera3_1000nit_EEM_r3,67.371228
Chimera3_1000nit_EEM_r4,51.807037
Chimera3_1000nit_LTM_r1,96.76641
Chimera3_1000nit_LTM_r2,71.664694
Chimera3_1000nit_LTM_r3,63.380783
Chimera3_1000nit_LTM_r4,56.019305
Chimera3_1000nit_NNVC_r1,99.994539
Chimera3_1000nit_NNVC_r2,91.754033
Chimera3_1000nit_NNVC_r3,81.348166
Chimera3_1000nit_NNVC_r4,55.876434
Chimera3_1000nit_VTM_r1,89.263111
Chimera3_1000nit_VTM_r2,77.876167
Chimera3_1000nit_VTM_r3,64.783911
Chimera3_1000nit_VTM_r4,52.228084
Chimera4_1000nit_AVS3_r1,91.937421
Chimera4_1000nit_AVS3_r2,89.936151
Chimera4_1000nit_AVS3_r3,87.30424
Chimera4_1000nit_AVS3_r4,78.09849
Chimera4_1000nit_AlphaVC-P_r3,66.001827
Chimera4_1000nit_AlphaVC-P_r4,49.890419
Chimera4_1000nit_EEM_r4,60.16985
Chimera4_1000nit_LTM_r1,91.961151
Chimera4_1000nit_LTM_r2,79.380933
Chimera4_1000nit_LTM_r3,66.132892
Chimera4_1000nit_LTM_r4,58.343319
Chimera4_1000nit_NNVC_r1,95.903982
Chimera4_1000nit_NNVC_r2,90.634339
Chimera4_1000nit_NNVC_r3,86.103132
Chimera4_1000nit_NNVC_r4,67.474835
Chimera4_1000nit_VTM_r1,88.874071
Chimera4_1000nit_VTM_r2,73.970954
Chimera4_1000nit_VTM_r3,61.418039
Chimera4_1000nit_VTM_r4,48.334078
Football1_1000nit_AVS3_r1,94.896555
Football1_1000nit_AVS3_r2,93.111885
Football1_1000nit_AVS3_r3,90.6989
Football1_1000nit_AVS3_r4,83.206905
Football1_1000nit_AlphaVC-P_r1,88.638321
Football1_1000nit_AlphaVC-P_r2,85.271773
Football1_1000nit_AlphaVC-P_r3,82.205045
Football1_1000nit_AlphaVC-P_r4,65.884736
Football1_1000nit_EEM_r1,92.73551
Football1_1000nit_EEM_r2,86.163984
Football1_1000nit_EEM_r3,80.251629
Football1_1000nit_EEM_r4,65.670317
Football1_1000nit_LTM_r1,94.135848
Football1_1000nit_LTM_r2,91.038184
Football1_1000nit_LTM_r3,84.574092
Football1_1000nit_LTM_r4,74.749032
Football1_1000nit_NNVC_r1,98.4464
Football1_1000nit_NNVC_r2,94.394793
Football1_1000nit_NNVC_r3,90.697125
Football1_1000nit_NNVC_r4,76.563933
Football1_1000nit_VTM_r1,92.920162
Football1_1000nit_VTM_r2,88.265454
Football1_1000nit_VTM_r3,81.510426
Football1_1000nit_VTM_r4,72.550042
Nocturne1_1000nit_AVS3_r1,94.528326
Nocturne1_1000nit_AVS3_r2,92.496649
Nocturne1_1000nit_AVS3_r3,90.07694
Nocturne1_1000nit_AVS3_r4,82.5961
Nocturne1_1000nit_AlphaVC-P_r1,91.000384
Nocturne1_1000nit_AlphaVC-P_r2,88.805256
Nocturne1_1000nit_AlphaVC-P_r3,86.763034
Nocturne1_1000nit_AlphaVC-P_r4,76.888733
Nocturne1_1000nit_EEM_r1,93.21313
Nocturne1_1000nit_EEM_r2,88.163023
Nocturne1_1000nit_EEM_r3,83.893025
Nocturne1_1000nit_EEM_r4,73.247662
Nocturne1_1000nit_LTM_r1,95.402269
Nocturne1_1000nit_LTM_r2,85.402371
Nocturne1_1000nit_LTM_r3,75.775341
Nocturne1_1000nit_LTM_r4,69.737564
Nocturne1_1000nit_NNVC_r1,98.894
Nocturne1_1000nit_NNVC_r2,93.917041
Nocturne1_1000nit_NNVC_r3,85.583847
Nocturne1_1000nit_NNVC_r4,66.669719
Nocturne1_1000nit_VTM_r1,87.484848
Nocturne1_1000nit_VTM_r2,80.610466
Nocturne1_1000nit_VTM_r3,71.897753
Nocturne1_1000nit_VTM_r4,60.914154
Smithy1_1000nit_AVS3_r1,93.997064
Smithy1_1000nit_AVS3_r2,91.592621
Smithy1_1000nit_AVS3_r3,88.521439
Smithy1_1000nit_AVS3_r4,78.919489
Smithy1_1000nit_AlphaVC-P_r1,78.802795
Smithy1_1000nit_AlphaVC-P_r2,72.673479
Smithy1_1000nit_AlphaVC-P_r3,67.958085
